epoch,acc,loss,top2_acc,val_acc,val_loss,val_top2_acc
0,0.7777237296104431,0.6659964323043823,0.9263479709625244,0.8660560846328735,0.5461100935935974,0.9768174290657043
1,0.8339354991912842,0.517753005027771,0.958101749420166,0.8763594627380371,0.5137454271316528,0.9842587113380432
2,0.8515841960906982,0.4857935607433319,0.9649805426597595,0.8806525468826294,0.5050000548362732,0.9822552800178528
3,0.8525570034980774,0.47363051772117615,0.969357967376709,0.8806525468826294,0.5020591020584106,0.9825415015220642
4,0.8638827204704285,0.4615466296672821,0.9717203974723816,0.890955924987793,0.48667261004447937,0.9845449328422546
5,0.8810450434684753,0.4251316785812378,0.980266809463501,0.913852334022522,0.4353066682815552,0.9885517954826355
6,0.9121039509773254,0.3702637553215027,0.9889522194862366,0.9273039698600769,0.41349247097969055,0.989410400390625
7,0.9306558966636658,0.34183692932128906,0.9927737712860107,0.9393245577812195,0.38815659284591675,0.9914138317108154
8,0.9446220397949219,0.32124143838882446,0.9945803284645081,0.9430451989173889,0.3730657398700714,0.9917000532150269
9,0.9535158276557922,0.3081861734390259,0.9949277639389038,0.9459072947502136,0.36753180623054504,0.9928448796272278
10,0.9606031179428101,0.29751554131507874,0.9970816969871521,0.9516313672065735,0.3596021831035614,0.9942759275436401
11,0.9663007259368896,0.2885448932647705,0.9974291324615479,0.9513451457023621,0.35136356949806213,0.9945620894432068
12,0.9708171486854553,0.2803311347961426,0.9984713792800903,0.9516313672065735,0.34629660844802856,0.9948483109474182
13,0.9782518148422241,0.273677796125412,0.9981239438056946,0.9547796249389648,0.34265828132629395,0.9942759275436401
14,0.9810311198234558,0.27048516273498535,0.998749315738678,0.9544934034347534,0.3423056900501251,0.9942759275436401
15,0.9823513031005859,0.2648298144340515,0.9991661906242371,0.9556382298469543,0.3364570438861847,0.9957069158554077
16,0.9833240509033203,0.2639046013355255,0.9990272521972656,0.9622209668159485,0.33358848094940186,0.9945620894432068
17,0.9842273592948914,0.26292750239372253,0.999096691608429,0.9605036973953247,0.33131319284439087,0.9931311011314392
18,0.9877709746360779,0.2566540241241455,0.9994441270828247,0.9570692777633667,0.3333122134208679,0.9937034845352173
19,0.9886742830276489,0.25511467456817627,0.9993746280670166,0.9576416611671448,0.3323774039745331,0.9942759275436401
20,0.9885352849960327,0.2553308606147766,0.9997915625572205,0.9602175354957581,0.3283524513244629,0.9937034845352173
21,0.9914535880088806,0.25049591064453125,0.9997220635414124,0.961362361907959,0.32627832889556885,0.9948483109474182
22,0.9927737712860107,0.24924571812152863,0.9995831251144409,0.9602175354957581,0.3301941156387329,0.9939897060394287
23,0.9922178983688354,0.2472156286239624,0.9999305009841919,0.9625071287155151,0.32188680768013,0.9954206943511963
24,0.9938160181045532,0.24552510678768158,0.9997220635414124,0.9610761404037476,0.32400864362716675,0.9954206943511963
25,0.9934685826301575,0.24638772010803223,0.9999305009841919,0.9633657932281494,0.3205079436302185,0.9948483109474182
26,0.9943023920059204,0.24360734224319458,0.9997220635414124,0.9645105600357056,0.31725195050239563,0.9951345324516296
27,0.9947887659072876,0.24334535002708435,0.9999305009841919,0.9625071287155151,0.32077258825302124,0.9959931373596191
28,0.9942328929901123,0.24244433641433716,0.9997220635414124,0.9639381766319275,0.32064005732536316,0.9951345324516296
29,0.9945803284645081,0.2418227642774582,0.9997915625572205,0.9625071287155151,0.3203199505805969,0.9957069158554077
30,0.9946498274803162,0.24134574830532074,0.9997915625572205,0.9636519551277161,0.315822035074234,0.9959931373596191
31,0.9961784482002258,0.24075980484485626,0.9998610615730286,0.9622209668159485,0.3161623179912567,0.9962793588638306
32,0.9954835772514343,0.23970100283622742,0.9998610615730286,0.9642243981361389,0.31535059213638306,0.9951345324516296
33,0.995761513710022,0.24035431444644928,0.9997220635414124,0.961362361907959,0.3193914592266083,0.9945620894432068
34,0.9951362013816833,0.23971915245056152,0.9998610615730286,0.9622209668159485,0.31184929609298706,0.9959931373596191
35,0.9968732595443726,0.23790034651756287,0.9997220635414124,0.9662278294563293,0.3127724826335907,0.9948483109474182
36,0.9960394501686096,0.23745466768741608,0.9997220635414124,0.9607899188995361,0.31152182817459106,0.9959931373596191
37,0.995761513710022,0.2368222028017044,0.9997220635414124,0.9650830030441284,0.31211668252944946,0.9948483109474182
38,0.9964563846588135,0.2366989701986313,0.9999305009841919,0.9616485238075256,0.3120354115962982,0.9951345324516296
39,0.9963173866271973,0.23619486391544342,0.9998610615730286,0.9645105600357056,0.30959343910217285,0.9948483109474182
